NumeroDocumento;DataDocumento;Oggetto;LinkDocumento;Dipartimento;DirezioneGenerale;Unita'OrganizzativaDirigenziale
5;16/01/2018;Riorganizzazione Centro di Coordinamento Regionale per le Malattie rare e Registro Regionale Malattie rare. Modifiche e integrazioni DGRC 2109 del 31/12/2008.;http://burc.regione.campania.it/eBurcWeb/directServlet?DOCUMENT_ID=112427&ATTACH_ID=167732;50;4;91
11;16/01/2018;Approvazione del Documento Tecnico di Accompagnamento al Bilancio di Previsione Finanziario per il triennio 2018-2020 e del Bilancio Gestionale 2018-2020 della Regione Campania con contestuale aggiornamento dei residui e della cassa;http://burc.regione.campania.it/eBurcWeb/directServlet?DOCUMENT_ID=112374&ATTACH_ID=167614;50;13;100000000014
39;29/01/2018;Approvazione schema di protocollo d'intesa per la gestione degli animali oggetto di provvedimento  di sequestro o confisca.;http://burc.regione.campania.it/eBurcWeb/directServlet?DOCUMENT_ID=112592&ATTACH_ID=167966;50;4;1
59;07/02/2018;D.G.R. n. 11 del 16 Gennaio 2018 - Bilancio Gestionale 2018 - Istituzione nuovi capitoli di spesa. Variazione al bilancio gestionale per l'esercizio finanziario 2018 ai sensi dell'art. 51 del D.Lgs. 118/2011. Risorse FSC 2007/2013;http://burc.regione.campania.it/eBurcWeb/directServlet?DOCUMENT_ID=112692&ATTACH_ID=168227;50;5;-100000000014
60;07/02/2018;D.G.R. n. 11 del 16 Gennaio 2018 - Bilancio Gestionale 2018 - Variazione al bilancio gestionale per l'esercizio finanziario 2018 ai sensi dell'art. 51, comma 2 del D.Lgs. 118/2011.  POR Campania FESR 2014-2020. Obiettivo specifico 9.3 - Azione 9.3.1;;50;5;5
73;14/02/2018;Iscrizione nel bilancio di previsione finanziario 2018-2020 ai sensi del D. Lgs. N. 118/2011 art. 51, comma 2, lettera a) delle risorse per le attivita' dell'Obiettivo Specifico 6.7 del POR FESR Campania 2014/2020 e istituzione capitoli di spesa (Con allegati).;http://burc.regione.campania.it/eBurcWeb/directServlet?DOCUMENT_ID=112867&ATTACH_ID=168454;50;12;100000000015
74;14/02/2018;DOTAZIONE FINANZIARIA CAP. 8570 DI TITOLARIT� DELL'UFFICIO DELLO STAFF 50.10.92 DELLA DIREZIONE GENERALE RICERCA, UNIVERSIT� ED INNOVAZIONE - PROGETTO I. TER MOBILITY (INTEGRAZIONE CON L'INTELLIGENT TRANSPORTATION SYSTEM).;http://trasparenza.regione.campania.it/PD20180002149_006624376.pdf;50;10;92
74;14/02/2018;DOTAZIONE FINANZIARIA CAP. 8570 DI TITOLARIT� DELL'UFFICIO DELLO STAFF 50.10.92 DELLA DIREZIONE GENERALE RICERCA, UNIVERSIT� ED INNOVAZIONE - PROGETTO I. TER MOBILITY (INTEGRAZIONE CON L'INTELLIGENT TRANSPORTATION SYSTEM).;http://trasparenza.regione.campania.it/TRASP_DG20180000075ver03.pdf;50;10;92
75;14/02/2018;Rinnovo del parco rotabile ferroviario per la fornitura di n. 12 unita' di trazione a valere sulla quota del P.O. FESR 2014-2020, destinata all'OT 4 - Obiettivo Specifico 4.6 - Iscrizione in termini di competenza e di cassa nell'ambito della Missione 10 Programma 06 del Bilancio regionale.;http://trasparenza.regione.campania.it/PD20180002151_006624378.pdf;50;8;5
75;14/02/2018;Rinnovo del parco rotabile ferroviario per la fornitura di n. 12 unita' di trazione a valere sulla quota del P.O. FESR 2014-2020, destinata all'OT 4 - Obiettivo Specifico 4.6 - Iscrizione in termini di competenza e di cassa nell'ambito della Missione 10 Programma 06 del Bilancio regionale.;http://trasparenza.regione.campania.it/TRASP_DG20180000076ver03.pdf;50;8;5
