FID;Quartiere;DataCreazione;Latitudine;Longitudine;Indirizzo;Civico;Tipologia;Foto
0;san Ferdinando;2019-02-28T08:55:16.456Z;40.83864;14.24413;CALATA S.MATTIA;s.n.c.;a raso;https://five.epicollect.net/api/media/mun01-san-ferdinando-catasto-passi-carrai?type=photo&format=entry_original&name=1b92fe6f-613f-4146-bdc2-a2c673830fbe_1551344094.jpg
1;san Ferdinando;2019-02-20T08:50:46.231Z;40.83563;14.24546;VICO SANTO SPIRITO;31;a raso;https://five.epicollect.net/api/media/mun01-san-ferdinando-catasto-passi-carrai?type=photo&format=entry_original&name=1a99288f-712e-41ef-9b81-5a43a5c6b754_1550652622.jpg
2;san Ferdinando;2019-03-21T10:45:22.294Z;40.83406;14.24301;VICOLETTO CAPPELLA VECCHIA;s.n.c.;a raso;https://five.epicollect.net/api/media/mun01-san-ferdinando-catasto-passi-carrai?type=photo&format=entry_original&name=71be04a5-3c9d-4adb-9465-f27679abbcdf_1553165109.jpg
3;san Ferdinando;2019-03-12T10:24:08.422Z;40.8399;14.24714;VIA TRINITA' DEGLI SPAGNOLI;s.n.c.;a raso;https://five.epicollect.net/api/media/mun01-san-ferdinando-catasto-passi-carrai?type=photo&format=entry_original&name=914fcff6-00b1-4ea1-9ace-0906b5413bb2_1552386231.jpg
4;chiaia;2019-02-11T11:27:43.549Z;40.83471;14.22118;VIA GIORDANI FRANCESCO;SNC;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=a744ffc4-abad-4887-ac22-4aa9259bba71_1549884430.jpg
5;posillipo;2019-02-27T11:28:27.039Z;40.82746;14.21724;VIA ORAZIO;121A;su marciapiede;https://five.epicollect.net/api/media/mun01-posillipo-catasto-passi-carrai?type=photo&format=entry_original&name=0d347ca2-e382-4887-b4b5-a1807fdf88ed_1551266869.jpg
6;san Ferdinando;2019-03-12T10:27:18.197Z;40.83987;14.24715;VIA TRINITA' DEGLI SPAGNOLI;s.n.c.;a raso;https://five.epicollect.net/api/media/mun01-san-ferdinando-catasto-passi-carrai?type=photo&format=entry_original&name=965489ca-e3b1-4095-80f6-66dbb5151a94_1552386416.jpg
7;chiaia;2019-02-11T11:21:22.837Z;40.87586;14.22479;VIA GIORDANI FRANCESCO;SNC;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=ba9e0f24-97a5-4259-b034-8c2dd5d1448b_1549884039.jpg
8;chiaia;2019-04-08T08:58:58.060Z;40.8409;14.23879;VIA VIANELLI ACHILLE;SNC;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=244232ca-e7ed-4362-9b51-a4afafdfba27_1554713912.jpg
9;chiaia;2019-04-08T09:01:58.130Z;40.84084;14.23878;VIA PALIZZI FILIPPO;86;su marciapiede;https://five.epicollect.net/api/media/mun01-chiaia-catasto-passi-carrai?type=photo&format=entry_original&name=17b702bc-b504-4798-a348-1d86bbfb53a6_1554714088.jpg
