tipologia spese/tipologia soggetti;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
 TOTALE SPESE CORRENTI;54053292,98;56407358,77;57238820,25;59370685,63;59415330,57;59374879,69;60150373,36;60730120,35;62413826,39;62202097,76;61378838,02;61560764,3;61711995,06;61502850,86;60713305;61373297,66;61390181,61
Amministrazioni Centrali;34141764,74;34037351,74;33723752,42;35086077,45;34298488,74;34993852,85;34174271,9;34732737,62;35597317,14;36465363,12;36662148,78;36571142,01;37134693,47;36518622,48;36316720,34;38424539;37352617,43
Amministrazioni Locali;4733454,16;4803664,589;4427904,718;4506072,128;4854237,05;5118537,813;5241348,917;5192323,641;5427105,497;5172294,11;4895113,35;4985220,646;4348421,774;4790699,073;5126638,076;4355778,372;4476880,748
Amministrazioni Regionali;7278345,609;7501040,799;7847058,721;8412350,128;8037530,094;8460861,852;9325854,947;9850059,512;10855476,3;10268025,69;8651663,3;8528985,356;9746613,175;10018804,83;9108151,206;9260459,11;9169305,345
Imprese pubbliche locali;2143487,432;2173287,015;2267681,392;2493954,271;2685069,914;2331733,449;2319953,667;2429311,189;2413558,147;2476272,856;2716120,01;2513441,906;2830621,823;2559723,189;2997879,19;2951574,139;4755648,101
Imprese pubbliche nazionali;5730241,036;7892014,63;8972422,996;8872231,652;9540004,772;8469893,721;9088943,93;8525688,387;8120369,312;7820141,992;8453792,58;8961974,385;7651644,825;7615001,283;7163916,191;6380947,043;5635729,988
TOTALE SPESE IN CONTO CAPITALE;9489362,733;10092850,78;12984900,13;11230657,19;13485843,27;10925803,53;12343452,15;10667582,58;11264756,05;9395502,793;8582483,68;10279783,45;10053844,34;9207704,13;10797328,44;9482234,322;6917333,897
Amministrazioni Centrali;5684969,44;5990319,671;7367535,046;6103116,414;4280760,377;4267162,461;4041979,335;3865802,714;4731951,445;3410186,701;2895609,71;3833797,589;2811407,831;4089368,968;5117025,206;4512356,184;2383743,918
Amministrazioni Locali;2179869,23;2413732,849;2544114,03;2406178,099;2561046,276;2372182,788;2408710,588;2702692,533;2507517,772;2284949,519;1734201,51;1557130,184;1526696,95;1459960,216;1177281,215;2039718,892;1256293,692
Amministrazioni Regionali;171855,7579;177042,0342;1366383,893;922121,4524;1328386,777;1069631,536;870969,5111;889700,461;800636,1419;945863,5783;550459,51;435770,0231;504689,9706;432683,6791;325581,8535;496240,0821;330578,4938
Imprese pubbliche locali;697000,7425;643535,3103;664928,0084;717392,6066;686289,2589;840664,1104;844392,7204;1121024,283;1004519,426;745140,278;928651,02;675284,4138;1084101,564;597762,8511;613482,8849;604586,3828;522228,1178
Imprese pubbliche nazionali;755667,5638;868220,9143;1041939,15;1081848,622;4629360,578;2376162,636;4177399,991;2088362,592;2220131,262;2009362,717;2473561,93;3777801,24;4126948,018;2627928,415;3563957,279;1829332,782;2424489,676
 TOTALE SPESE;63516655,72;66500209,55;70223720,38;70601342,82;72901173,83;70300683,22;72493825,5;71397702,93;73678582,44;71597600,56;69961321,7;71840547,75;71765839,4;70710554,99;71510633,44;70855531,98;68307515,51
Amministrazioni Centrali;39826734,18;40027671,41;41091287,47;41189193,86;38579249,12;39261015,31;38216251,23;38598540,33;40329268,59;39875549,82;39557758,49;40404939,6;39946101,3;40607991,45;41433745,55;42936895,18;39736361,35
Amministrazioni Locali;6913323,389;7217397,438;6972018,748;6912250,227;7415283,325;7490720,601;7650059,505;7895016,174;7934623,269;7457243,629;6629314,86;6542350,83;5875118,724;6250659,288;6303919,291;6395497,263;5733174,44
Amministrazioni Regionali;7450201,367;7678082,833;9213442,614;9334471,58;9365916,871;9530493,388;10196824,46;10739759,97;11656112,44;11213889,26;9202122,81;8964755,379;10251303,15;10451488,51;9433733,059;9756699,192;9499883,839
Imprese pubbliche locali;2840488,174;2816822,325;2932609,401;3211346,878;3371359,173;3172397,56;3164346,387;3550335,471;3418077,573;3221413,134;3644771,03;3188726,319;3914723,387;3157486,04;3611362,075;3556160,522;5277876,219
Imprese pubbliche nazionali;6485908,6;8760235,544;10014362,15;9954080,274;14169365,35;10846056,36;13266343,92;10614050,98;10340500,57;9829504,709;10927354,51;12739775,62;11778592,84;10242929,7;10727873,47;8210279,825;8060219,664
