s,d
http://www.wikidata.org/entity/Q121841,2974-12-18T00:00:00Z
http://www.wikidata.org/entity/Q18616095,2014-12-10T00:00:00Z
http://www.wikidata.org/entity/Q214025,2012-02-23T00:00:00Z
http://www.wikidata.org/entity/Q23073886,2011-06-26T00:00:00Z
http://www.wikidata.org/entity/Q4259487,2009-11-19T00:00:00Z
http://www.wikidata.org/entity/Q2317090,2009-05-04T00:00:00Z
http://www.wikidata.org/entity/Q20645066,2008-08-18T00:00:00Z
http://www.wikidata.org/entity/Q1532982,2007-02-28T00:00:00Z
http://www.wikidata.org/entity/Q20965633,2006-10-05T00:00:00Z
http://www.wikidata.org/entity/Q16225615,2005-12-12T00:00:00Z
http://www.wikidata.org/entity/Q889946,2005-02-23T00:00:00Z
http://www.wikidata.org/entity/Q4630773,2005-01-23T00:00:00Z
http://www.wikidata.org/entity/Q2479095,2004-10-28T00:00:00Z
http://www.wikidata.org/entity/Q7332994,2004-09-23T00:00:00Z
http://www.wikidata.org/entity/Q3938675,2004-07-18T00:00:00Z
http://www.wikidata.org/entity/Q1135649,2004-06-23T00:00:00Z
http://www.wikidata.org/entity/Q2685550,2004-06-08T00:00:00Z
http://www.wikidata.org/entity/Q17418129,2004-06-01T00:00:00Z
http://www.wikidata.org/entity/Q5004437,2004-03-06T00:00:00Z
http://www.wikidata.org/entity/Q522088,2004-01-10T00:00:00Z
http://www.wikidata.org/entity/Q19662250,2003-05-22T00:00:00Z
http://www.wikidata.org/entity/Q276961,2003-05-08T00:00:00Z
http://www.wikidata.org/entity/Q490850,2003-03-16T00:00:00Z
http://www.wikidata.org/entity/Q18043217,2003-03-07T00:00:00Z
http://www.wikidata.org/entity/Q6394966,2003-03-01T00:00:00Z
http://www.wikidata.org/entity/Q6386515,2002-12-28T00:00:00Z
http://www.wikidata.org/entity/Q2602471,2002-12-24T00:00:00Z
http://www.wikidata.org/entity/Q16185788,2002-11-16T00:00:00Z
http://www.wikidata.org/entity/Q18581761,2002-09-30T00:00:00Z
http://www.wikidata.org/entity/Q6901323,2002-09-15T00:00:00Z
http://www.wikidata.org/entity/Q5281267,2002-09-09T00:00:00Z
http://www.wikidata.org/entity/Q5934927,2002-08-18T00:00:00Z
http://www.wikidata.org/entity/Q1004751,2002-07-22T00:00:00Z
http://www.wikidata.org/entity/Q5247389,2002-07-20T00:00:00Z
http://www.wikidata.org/entity/Q6938106,2002-07-18T00:00:00Z
http://www.wikidata.org/entity/Q13656508,2002-06-28T00:00:00Z
http://www.wikidata.org/entity/Q297724,2002-04-08T00:00:00Z
http://www.wikidata.org/entity/Q16240593,2002-02-26T00:00:00Z
http://www.wikidata.org/entity/Q6101482,2001-12-28T00:00:00Z
http://www.wikidata.org/entity/Q743509,2001-12-01T00:00:00Z
http://www.wikidata.org/entity/Q6911944,2001-11-27T00:00:00Z
http://www.wikidata.org/entity/Q15069989,2001-10-19T00:00:00Z
http://www.wikidata.org/entity/Q5736329,2001-10-07T00:00:00Z
http://www.wikidata.org/entity/Q16240563,2001-09-15T00:00:00Z
http://www.wikidata.org/entity/Q1619324,2001-08-30T00:00:00Z
http://www.wikidata.org/entity/Q22098170,2001-08-25T00:00:00Z
http://www.wikidata.org/entity/Q7446942,2001-08-04T00:00:00Z
http://www.wikidata.org/entity/Q7028910,2001-08-02T00:00:00Z
http://www.wikidata.org/entity/Q5990182,2001-07-10T00:00:00Z
http://www.wikidata.org/entity/Q17465969,2001-05-24T00:00:00Z
http://www.wikidata.org/entity/Q18086073,2001-05-23T00:00:00Z
http://www.wikidata.org/entity/Q5356850,2001-02-24T00:00:00Z
http://www.wikidata.org/entity/Q889941,2001-02-15T00:00:00Z
http://www.wikidata.org/entity/Q27469911,2001-02-07T00:00:00Z
http://www.wikidata.org/entity/Q6724398,2001-02-06T00:00:00Z
http://www.wikidata.org/entity/Q516165,2001-02-02T00:00:00Z
http://www.wikidata.org/entity/Q6696299,2000-12-29T00:00:00Z
http://www.wikidata.org/entity/Q7412591,2000-12-26T00:00:00Z
http://www.wikidata.org/entity/Q4023060,2000-12-14T00:00:00Z
http://www.wikidata.org/entity/Q6119167,2000-11-28T00:00:00Z
http://www.wikidata.org/entity/Q298209,2000-10-31T00:00:00Z
http://www.wikidata.org/entity/Q20973724,2000-10-30T00:00:00Z
http://www.wikidata.org/entity/Q16240370,2000-10-16T00:00:00Z
http://www.wikidata.org/entity/Q16730805,2000-10-11T00:00:00Z
http://www.wikidata.org/entity/Q3605920,2000-10-10T00:00:00Z
http://www.wikidata.org/entity/Q16170780,2000-10-09T00:00:00Z
http://www.wikidata.org/entity/Q17198353,2000-10-06T00:00:00Z
http://www.wikidata.org/entity/Q17505145,2000-10-06T00:00:00Z
http://www.wikidata.org/entity/Q12605588,2000-09-28T00:00:00Z
http://www.wikidata.org/entity/Q15244271,2000-09-27T00:00:00Z
http://www.wikidata.org/entity/Q21180911,2000-09-05T00:00:00Z
http://www.wikidata.org/entity/Q6118600,2000-09-01T00:00:00Z
http://www.wikidata.org/entity/Q1546593,2000-08-24T00:00:00Z
http://www.wikidata.org/entity/Q12589202,2000-08-09T00:00:00Z
http://www.wikidata.org/entity/Q15638494,2000-08-03T00:00:00Z
http://www.wikidata.org/entity/Q486959,2000-07-31T00:00:00Z
http://www.wikidata.org/entity/Q5372194,2000-07-28T00:00:00Z
http://www.wikidata.org/entity/Q16208406,2000-07-27T00:00:00Z
http://www.wikidata.org/entity/Q1593888,2000-07-25T00:00:00Z
http://www.wikidata.org/entity/Q4355895,2000-07-25T00:00:00Z
http://www.wikidata.org/entity/Q4742066,2000-07-24T00:00:00Z
http://www.wikidata.org/entity/Q3132166,2000-07-17T00:00:00Z
http://www.wikidata.org/entity/Q15644554,2000-07-17T00:00:00Z
http://www.wikidata.org/entity/Q4260536,2000-07-16T00:00:00Z
http://www.wikidata.org/entity/Q16239369,2000-07-08T00:00:00Z
http://www.wikidata.org/entity/Q16240352,2000-07-07T00:00:00Z
http://www.wikidata.org/entity/Q18578182,2000-06-19T00:00:00Z
http://www.wikidata.org/entity/Q259144,2000-06-01T00:00:00Z
http://www.wikidata.org/entity/Q1683481,2000-05-30T00:00:00Z
http://www.wikidata.org/entity/Q16734212,2000-05-30T00:00:00Z
http://www.wikidata.org/entity/Q16226788,2000-05-15T00:00:00Z
http://www.wikidata.org/entity/Q20973718,2000-05-09T00:00:00Z
http://www.wikidata.org/entity/Q431397,2000-05-07T00:00:00Z
http://www.wikidata.org/entity/Q4352345,2000-05-04T00:00:00Z
http://www.wikidata.org/entity/Q18346218,2000-05-03T00:00:00Z
http://www.wikidata.org/entity/Q11483715,2000-04-14T00:00:00Z
http://www.wikidata.org/entity/Q2679217,2000-04-06T00:00:00Z
http://www.wikidata.org/entity/Q793355,2000-04-05T00:00:00Z
http://www.wikidata.org/entity/Q16240361,2000-03-22T00:00:00Z
http://www.wikidata.org/entity/Q20639316,2000-03-08T00:00:00Z
http://www.wikidata.org/entity/Q21620406,2000-03-02T00:00:00Z
http://www.wikidata.org/entity/Q6498626,2000-02-25T00:00:00Z
http://www.wikidata.org/entity/Q8062109,2000-02-21T00:00:00Z
http://www.wikidata.org/entity/Q13114075,2000-02-12T00:00:00Z
http://www.wikidata.org/entity/Q453620,2000-02-10T00:00:00Z
http://www.wikidata.org/entity/Q21181070,2000-02-08T00:00:00Z
http://www.wikidata.org/entity/Q18715222,2000-01-25T00:00:00Z
http://www.wikidata.org/entity/Q26251839,2000-01-25T00:00:00Z
http://www.wikidata.org/entity/Q6824033,2000-01-17T00:00:00Z
http://www.wikidata.org/entity/Q20973749,2000-01-13T00:00:00Z
http://www.wikidata.org/entity/Q7492278,2000-01-12T00:00:00Z
http://www.wikidata.org/entity/Q12588834,2000-01-09T00:00:00Z
http://www.wikidata.org/entity/Q18129453,1999-12-20T00:00:00Z
http://www.wikidata.org/entity/Q16238781,1999-11-30T00:00:00Z
http://www.wikidata.org/entity/Q3737823,1999-11-25T00:00:00Z
http://www.wikidata.org/entity/Q14756776,1999-11-19T00:00:00Z
http://www.wikidata.org/entity/Q23887699,1999-11-19T00:00:00Z
http://www.wikidata.org/entity/Q24007605,1999-11-14T00:00:00Z
http://www.wikidata.org/entity/Q17403524,1999-10-30T00:00:00Z
http://www.wikidata.org/entity/Q1317087,1999-10-27T00:00:00Z
http://www.wikidata.org/entity/Q5162033,1999-10-20T00:00:00Z
http://www.wikidata.org/entity/Q4144677,1999-10-14T00:00:00Z
http://www.wikidata.org/entity/Q14954443,1999-09-24T00:00:00Z
http://www.wikidata.org/entity/Q19803643,1999-09-16T00:00:00Z
http://www.wikidata.org/entity/Q22443294,1999-09-06T00:00:00Z
